Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Resistor 4k7","",15,0.64,"https://he.aliexpress.com/item/1005011886443911.html?spm=a2g0o.order_detail.order_detail_item.3.31e1f19c3Yf2G9&gatewayAdapt=glo2isr",""
"Resistor 1k","",18,0.64,"https://he.aliexpress.com/item/1005011886443911.html?spm=a2g0o.order_detail.order_detail_item.3.31e1f19c3Yf2G9&gatewayAdapt=glo2isr",""
"Resistor 10R","",3,0.64,"https://he.aliexpress.com/item/1005011886443911.html?spm=a2g0o.order_detail.order_detail_item.3.31e1f19c3Yf2G9&gatewayAdapt=glo2isr",""
"Resistor 100k","",6,0.64,"https://he.aliexpress.com/item/1005011886443911.html?spm=a2g0o.order_detail.order_detail_item.3.31e1f19c3Yf2G9&gatewayAdapt=glo2isr",""
"Resistor 10k","",6,0.64,"https://he.aliexpress.com/item/1005011886443911.html?spm=a2g0o.order_detail.order_detail_item.3.31e1f19c3Yf2G9&gatewayAdapt=glo2isr",""
"CD4046BE (PLL)","",3,1.38,"https://he.aliexpress.com/item/1005009254095244.html?spm=a2g0o.order_list.order_list_main.251.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"CD4017BE (Counter)","",3,0.96,"https://he.aliexpress.com/item/1005009254095244.html?spm=a2g0o.order_list.order_list_main.251.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"TL072CP (Op-Amp)","",3,0.74,"https://he.aliexpress.com/item/1005005109343906.html?spm=a2g0o.order_list.order_list_main.115.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"VTL5C4 Vactrol","",15,6.93,"https://he.aliexpress.com/item/1005012095983599.html?spm=a2g0o.order_list.order_list_main.226.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"SRD-09VDC Relay","",3,3.61,"https://he.aliexpress.com/item/1005008661364221.html?spm=a2g0o.order_list.order_list_main.208.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"2N3904 Transistor","",15,2.27,"https://he.aliexpress.com/item/1005010396511377.html?spm=a2g0o.order_list.order_list_main.232.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"1N4001 Diode","",6,1.53,"https://he.aliexpress.com/item/1005001552094086.html?spm=a2g0o.order_list.order_list_main.257.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"50k Trimmer (3296W)","",15,2.20,"https://he.aliexpress.com/item/1005002304707308.html?spm=a2g0o.order_list.order_list_main.97.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"100k Potentiometer","",3,0.66,"https://he.aliexpress.com/item/1005010651217191.html?spm=a2g0o.order_list.order_list_main.121.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"3-PIN Toggle Switch","",3,8.33,"https://he.aliexpress.com/item/1005008914707882.html?spm=a2g0o.order_list.order_list_main.202.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"125B Enclosure","",3,22.80,"",""
"1/4"" Mono Jacks","",6,8.67,"https://he.aliexpress.com/item/1005007527123760.html?spm=a2g0o.order_list.order_list_main.16.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"Momentary Foot Switch","",3,20.03,"",""
"LED + Holder Kit","",18,8.59,"https://he.aliexpress.com/item/1005003385738351.html?spm=a2g0o.order_list.order_list_main.31.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"Capacitors (10n, 100n)","",13,3.20,"https://he.aliexpress.com/item/1005011747293156.html?spm=a2g0o.order_list.order_list_main.128.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
"Capacitors (10u, 100u)","",8,3.30,"https://he.aliexpress.com/item/1005006192445408.html?spm=a2g0o.order_list.order_list_main.190.d54c1802m1pbjz&gatewayAdapt=glo2isr",""
